player_name,height,age,height_group,player_key
Novak Djokovic,188.0,32.6,180-190,1
Roberto Bautista Agut,183.0,31.7,180-190,2
Dusan Lajovic,183.0,29.5,180-190,3
Rafael Nadal,185.0,33.5,180-190,4
Daniil Medvedev,198.0,23.9,190-200,5
Karen Khachanov,198.0,23.6,190-200,6
Daniel Evans,175.0,29.6,<180,7
Nick Kyrgios,193.0,24.6,190-200,8
David Goffin,180.0,29.0,<180,9
Benoit Paire,196.0,30.6,190-200,10
Kevin Anderson,203.0,33.6,200+,11
Gilles Simon,183.0,35.0,180-190,12
Gael Monfils,193.0,33.3,190-200,13
Lloyd Harris,193.0,22.8,190-200,14
Yoshihito Nishioka,170.0,24.2,<180,15
Go Soeda,178.0,35.3,<180,16
Nikoloz Basilashvili,185.0,27.8,180-190,17
Aleksandre Metreveli,183.0,26.4,180-190,18
Steve Darcis,178.0,35.8,<180,19
Dimitar Kuzmanov,183.0,26.4,180-190,20
Grigor Dimitrov,191.0,28.6,190-200,21
Cameron Norrie,188.0,24.3,180-190,22
Fabio Fognini,178.0,32.6,<180,23
Stefano Travaglia,185.0,28.0,180-190,24
Casper Ruud,183.0,21.0,180-190,25
Taylor Fritz,196.0,22.1,190-200,26
Borna Coric,188.0,23.1,180-190,27
Marin Cilic,198.0,31.2,190-200,28
Dominic Thiem,185.0,26.3,180-190,29
Dennis Novak,183.0,26.3,180-190,30
Hubert Hurkacz,196.0,22.8,190-200,31
Kacper Zuk,183.0,20.9,180-190,32
Diego Schwartzman,170.0,27.3,<180,33
Guido Pella,183.0,29.6,180-190,34
Stefanos Tsitsipas,193.0,21.4,190-200,35
Jan Lennard Struff,193.0,29.7,190-200,36
Denis Shapovalov,185.0,20.7,180-190,37
Alex De Minaur,183.0,20.8,180-190,38
Felix Auger Aliassime,193.0,19.4,190-200,39
John Millman,183.0,30.5,180-190,40
Andrey Rublev,188.0,22.2,180-190,41
Corentin Moutet,180.0,20.7,<180,42
Stan Wawrinka,183.0,34.7,180-190,43
Miomir Kecmanovic,183.0,20.3,180-190,44
Aljaz Bedene,181.0,30.4,180-190,45
Fernando Verdasco,188.0,36.1,180-190,46
Marton Fucsovics,188.0,27.9,180-190,47
Pierre Hugues Herbert,188.0,28.8,180-190,48
Jeremy Chardy,188.0,32.8,180-190,49
Alexander Bublik,196.0,22.5,190-200,50
Filip Krajinovic,185.0,27.8,180-190,51
Cem Ilkel,185.0,24.3,180-190,52
Laslo Djere,188.0,24.5,180-190,53
Mikhail Kukushkin,183.0,32.0,180-190,54
Tommy Paul,185.0,22.6,180-190,55
Albert Ramos,188.0,31.9,180-190,56
Pablo Carreno Busta,188.0,28.5,180-190,57
Alex Bolt,183.0,27.0,180-190,58
Pablo Cuevas,180.0,34.0,<180,59
Jeremy Chardy,188.0,32.9,180-190,60
Laslo Djere,188.0,24.6,180-190,61
Sam Querrey,198.0,32.2,190-200,62
James Duckworth,183.0,27.9,180-190,63
Ugo Humbert,188.0,21.5,180-190,64
Hubert Hurkacz,196.0,22.9,190-200,65
John Isner,208.0,34.7,200+,66
Feliciano Lopez,188.0,38.3,180-190,67
Kyle Edmund,188.0,25.0,180-190,68
Mikael Ymer,183.0,21.3,180-190,69
Thiago Monteiro,183.0,25.6,180-190,70
Andreas Seppi,190.0,35.8,180-190,71
Tennys Sandgren,188.0,28.4,180-190,72
Marco Cecchinato,185.0,27.2,180-190,73
Vasek Pospisil,193.0,29.5,190-200,74
Rafael Nadal,185.0,33.6,180-190,75
Federico Delbonis,193.0,29.2,190-200,76
Peter Gojowczyk,188.0,30.5,180-190,77
Nick Kyrgios,193.0,24.7,190-200,78
Ivo Karlovic,208.0,40.8,200+,79
Aljaz Bedene,181.0,30.5,180-190,80
Ernests Gulbis,190.0,31.3,180-190,81
Taylor Fritz,196.0,22.2,190-200,82
Pedro Martinez,185.0,22.7,180-190,83
