tourney_date,time_key,year,month,day,day_of_week
2020-01-06,1,2020,1,6,Monday
2020-01-13,2,2020,1,13,Monday
2020-01-20,3,2020,1,20,Monday
2020-02-03,4,2020,2,3,Monday
2020-02-10,5,2020,2,10,Monday
2020-02-17,6,2020,2,17,Monday
2020-02-24,7,2020,2,24,Monday
2020-08-24,8,2020,8,24,Monday
2020-08-31,9,2020,8,31,Monday
2020-09-07,10,2020,9,7,Monday
2020-09-14,11,2020,9,14,Monday
2020-09-21,12,2020,9,21,Monday
2020-09-28,13,2020,9,28,Monday
2020-10-12,14,2020,10,12,Monday
2020-10-19,15,2020,10,19,Monday
2020-10-26,16,2020,10,26,Monday
2020-11-02,17,2020,11,2,Monday
2020-11-09,18,2020,11,9,Monday
2020-11-16,19,2020,11,16,Monday
2020-03-06,20,2020,3,6,Friday
2021-04-26,21,2021,4,26,Monday
2021-06-14,22,2021,6,14,Monday
2021-07-19,23,2021,7,19,Monday
2021-07-12,24,2021,7,12,Monday
2021-07-26,25,2021,7,26,Monday
2021-06-07,26,2021,6,7,Monday
2021-05-17,27,2021,5,17,Monday
2021-10-25,28,2021,10,25,Monday
2021-09-20,29,2021,9,20,Monday
2021-11-01,30,2021,11,1,Monday
2021-02-22,31,2021,2,22,Monday
2021-03-22,32,2021,3,22,Monday
2021-10-04,33,2021,10,4,Monday
2021-03-01,34,2021,3,1,Monday
2021-04-12,35,2021,4,12,Monday
2021-05-10,36,2021,5,10,Monday
2021-08-02,37,2021,8,2,Monday
2021-08-09,38,2021,8,9,Monday
2021-08-16,39,2021,8,16,Monday
2021-04-19,40,2021,4,19,Monday
2021-11-08,41,2021,11,8,Monday
2021-10-18,42,2021,10,18,Monday
2021-03-08,43,2021,3,8,Monday
2021-03-15,44,2021,3,15,Monday
2021-01-04,45,2021,1,4,Monday
2021-11-15,46,2021,11,15,Monday
2021-06-21,47,2021,6,21,Monday
2021-05-03,48,2021,5,3,Monday
2021-05-31,49,2021,5,31,Monday
2021-06-28,50,2021,6,28,Monday
2021-08-30,51,2021,8,30,Monday
2021-02-08,52,2021,2,8,Monday
2021-08-23,53,2021,8,23,Monday
2021-09-27,54,2021,9,27,Monday
2021-02-02,55,2021,2,2,Tuesday
2021-02-01,56,2021,2,1,Monday
2021-01-05,57,2021,1,5,Tuesday
2021-04-05,58,2021,4,5,Monday
2021-05-24,59,2021,5,24,Monday
2021-11-26,60,2021,11,26,Friday
2021-11-28,61,2021,11,28,Sunday
2021-11-27,62,2021,11,27,Saturday
2021-11-25,63,2021,11,25,Thursday
2021-12-03,64,2021,12,3,Friday
2021-11-30,65,2021,11,30,Tuesday
2021-11-29,66,2021,11,29,Monday
2021-12-05,67,2021,12,5,Sunday
2021-12-04,68,2021,12,4,Saturday
2021-12-02,69,2021,12,2,Thursday
2021-12-01,70,2021,12,1,Wednesday
2021-09-18,71,2021,9,18,Saturday
2021-09-17,72,2021,9,17,Friday
2021-03-05,73,2021,3,5,Friday
2022-01-03,74,2022,1,3,Monday
2022-01-10,75,2022,1,10,Monday
2022-01-17,76,2022,1,17,Monday
2022-01-31,77,2022,1,31,Monday
2022-02-07,78,2022,2,7,Monday
2022-02-14,79,2022,2,14,Monday
2022-02-21,80,2022,2,21,Monday
2022-03-07,81,2022,3,7,Monday
2022-03-21,82,2022,3,21,Monday
2022-04-04,83,2022,4,4,Monday
2022-04-11,84,2022,4,11,Monday
2022-04-18,85,2022,4,18,Monday
2022-04-25,86,2022,4,25,Monday
2022-05-02,87,2022,5,2,Monday
2022-05-09,88,2022,5,9,Monday
2022-05-16,89,2022,5,16,Monday
2022-05-23,90,2022,5,23,Monday
2022-06-06,91,2022,6,6,Monday
2022-06-13,92,2022,6,13,Monday
2022-06-20,93,2022,6,20,Monday
2022-06-27,94,2022,6,27,Monday
2022-07-11,95,2022,7,11,Monday
2022-07-18,96,2022,7,18,Monday
2022-07-25,97,2022,7,25,Monday
2022-08-01,98,2022,8,1,Monday
2022-08-08,99,2022,8,8,Monday
2022-08-15,100,2022,8,15,Monday
2022-08-22,101,2022,8,22,Monday
2022-08-29,102,2022,8,29,Monday
2022-09-19,103,2022,9,19,Monday
2022-09-26,104,2022,9,26,Monday
2022-10-03,105,2022,10,3,Monday
2022-10-10,106,2022,10,10,Monday
2022-10-17,107,2022,10,17,Monday
2022-10-24,108,2022,10,24,Monday
2022-10-31,109,2022,10,31,Monday
2022-11-07,110,2022,11,7,Monday
2022-11-14,111,2022,11,14,Monday
2022-03-04,112,2022,3,4,Friday
2023-01-02,113,2023,1,2,Monday
2023-01-09,114,2023,1,9,Monday
2023-01-16,115,2023,1,16,Monday
2023-02-06,116,2023,2,6,Monday
2023-02-13,117,2023,2,13,Monday
2023-02-20,118,2023,2,20,Monday
2023-02-27,119,2023,2,27,Monday
2023-03-06,120,2023,3,6,Monday
2023-03-20,121,2023,3,20,Monday
2023-04-03,122,2023,4,3,Monday
