player_key,surface_key,time_key,tournament_key,aces,double_faults,service_points,first_serve_in,first_serve_pct
3146,2,90,23,8.0,1.0,108.0,74.0,68.51851851851852
6146,2,88,21,0.0,4.0,100.0,64.0,64.0
3696,2,124,69,6.0,2.0,42.0,27.0,64.28571428571429
2200,2,123,66,1.0,0.0,55.0,31.0,56.36363636363636
370,1,137,18,1.0,5.0,48.0,26.0,54.166666666666664
3412,1,81,65,7.0,12.0,112.0,73.0,65.17857142857143
1010,1,120,65,2.0,5.0,60.0,28.0,46.666666666666664
1070,3,22,57,2.0,5.0,66.0,39.0,59.09090909090909
1579,1,77,7,2.0,0.0,58.0,40.0,68.96551724137932
5516,1,188,18,3.0,6.0,85.0,54.0,63.52941176470588
2753,1,82,64,2.0,1.0,52.0,38.0,73.07692307692307
2914,2,78,9,1.0,3.0,48.0,30.0,62.5
326,1,99,68,3.0,1.0,51.0,31.0,60.78431372549019
402,1,105,155,2.0,0.0,103.0,75.0,72.81553398058253
4071,1,106,156,11.0,0.0,57.0,46.0,80.7017543859649
5187,3,93,75,21.0,4.0,105.0,70.0,66.66666666666666
1001,3,94,78,6.0,9.0,122.0,76.0,62.295081967213115
3668,1,144,70,8.0,3.0,85.0,43.0,50.588235294117645
1084,1,1,1,11.0,6.0,89.0,53.0,59.55056179775281
3616,1,80,16,6.0,3.0,69.0,46.0,66.66666666666666
3095,1,7,15,4.0,1.0,56.0,34.0,60.71428571428571
3881,1,145,159,16.0,3.0,109.0,66.0,60.550458715596335
5483,2,84,66,2.0,4.0,105.0,73.0,69.52380952380952
6230,2,128,23,2.0,5.0,108.0,76.0,70.37037037037037
3434,2,177,21,1.0,4.0,93.0,57.0,61.29032258064516
2542,1,23,82,3.0,3.0,63.0,36.0,57.14285714285714
5733,3,182,85,15.0,6.0,94.0,52.0,55.319148936170215
3561,2,35,66,5.0,5.0,83.0,43.0,51.80722891566265
2781,1,107,70,8.0,3.0,54.0,37.0,68.51851851851852
1005,2,24,22,4.0,5.0,34.0,13.0,38.23529411764706
1123,1,204,234,5.0,1.0,50.0,28.0,56.00000000000001
1978,2,79,147,3.0,2.0,70.0,53.0,75.71428571428571
826,2,124,56,9.0,3.0,81.0,42.0,51.85185185185185
3691,1,116,146,10.0,1.0,64.0,43.0,67.1875
840,3,131,75,6.0,0.0,90.0,47.0,52.22222222222223
825,1,78,11,2.0,1.0,92.0,57.0,61.95652173913043
514,3,93,75,2.0,2.0,92.0,51.0,55.434782608695656
4168,1,76,5,13.0,3.0,80.0,40.0,50.0
5689,1,198,30,10.0,1.0,99.0,50.0,50.505050505050505
278,1,136,68,2.0,3.0,47.0,18.0,38.297872340425535
6100,1,120,65,1.0,2.0,72.0,38.0,52.77777777777778
438,1,81,65,1.0,1.0,71.0,39.0,54.929577464788736
4059,2,11,21,17.0,6.0,91.0,49.0,53.84615384615385
5118,1,42,71,1.0,2.0,102.0,71.0,69.6078431372549
4082,2,125,76,5.0,6.0,87.0,63.0,72.41379310344827
1585,3,24,59,3.0,0.0,41.0,30.0,73.17073170731707
6445,2,90,23,2.0,3.0,116.0,105.0,90.51724137931035
2959,1,163,178,5.0,3.0,97.0,59.0,60.824742268041234
5771,1,167,13,8.0,2.0,51.0,29.0,56.86274509803921
97,1,190,19,6.0,2.0,119.0,73.0,61.34453781512605
4114,1,102,19,1.0,0.0,88.0,56.0,63.63636363636363
3312,1,52,5,19.0,6.0,75.0,51.0,68.0
2702,1,190,19,3.0,8.0,89.0,42.0,47.19101123595505
3066,2,36,21,0.0,0.0,65.0,43.0,66.15384615384615
1659,1,189,80,14.0,7.0,97.0,59.0,60.824742268041234
2710,1,140,181,2.0,1.0,52.0,21.0,40.38461538461539
720,1,105,154,6.0,1.0,36.0,26.0,72.22222222222221
1883,3,94,78,6.0,6.0,76.0,48.0,63.1578947368421
3439,1,170,16,3.0,3.0,85.0,51.0,60.0
4021,1,188,18,10.0,5.0,90.0,43.0,47.77777777777778
2298,1,1,1,5.0,2.0,107.0,62.0,57.943925233644855
1848,1,6,12,6.0,5.0,73.0,36.0,49.31506849315068
590,1,121,64,13.0,4.0,89.0,56.0,62.92134831460674
5979,2,10,20,7.0,3.0,56.0,29.0,51.78571428571429
1557,2,27,83,0.0,1.0,65.0,49.0,75.38461538461539
4546,2,135,20,7.0,4.0,91.0,62.0,68.13186813186813
611,1,196,70,8.0,2.0,68.0,45.0,66.17647058823529
647,1,193,155,21.0,2.0,112.0,76.0,67.85714285714286
4407,1,102,19,13.0,15.0,161.0,90.0,55.90062111801242
4162,1,116,7,11.0,2.0,53.0,31.0,58.490566037735846
4738,1,9,19,5.0,3.0,110.0,62.0,56.36363636363636
3652,2,177,21,5.0,2.0,73.0,46.0,63.013698630136986
4950,1,137,18,4.0,5.0,141.0,81.0,57.446808510638306
1858,1,172,64,7.0,2.0,54.0,35.0,64.81481481481481
625,1,78,146,8.0,1.0,68.0,49.0,72.05882352941177
1776,2,184,58,2.0,3.0,99.0,55.0,55.55555555555556
3102,2,126,21,4.0,4.0,66.0,40.0,60.60606060606061
3881,1,120,65,12.0,7.0,95.0,55.0,57.89473684210527
883,2,128,23,8.0,3.0,149.0,90.0,60.40268456375839
1853,3,183,78,13.0,2.0,103.0,62.0,60.19417475728155
3074,2,174,66,1.0,2.0,102.0,59.0,57.84313725490197
4837,2,128,23,0.0,5.0,90.0,59.0,65.55555555555556
392,1,164,3,2.0,1.0,54.0,37.0,68.51851851851852
2827,1,14,26,21.0,0.0,68.0,49.0,72.05882352941177
2250,1,165,5,16.0,2.0,185.0,108.0,58.37837837837838
4612,1,118,2,8.0,5.0,86.0,56.0,65.11627906976744
6175,1,43,2,7.0,4.0,99.0,63.0,63.63636363636363
4866,1,196,55,4.0,3.0,53.0,38.0,71.69811320754717
2497,2,135,20,6.0,3.0,83.0,52.0,62.65060240963856
1111,2,133,60,1.0,2.0,64.0,44.0,68.75
2653,2,186,221,16.0,3.0,95.0,75.0,78.94736842105263
